,team,opponent,W,L,GF,GA,SF,SA,PP%,PK%,FOW%,date,home_ind
73,WPG,TOR,1,0,6,1,35,33,20.0,100.0,41.8,2015-12-02,1
74,NSH,CHI,1,0,3,1,32,39,0.0,100.0,51.9,2016-02-25,0
75,SJS,LAK,1,0,5,3,23,36,50.0,100.0,44.1,2015-12-22,0
76,STL,DAL,1,0,2,1,22,18,20.0,100.0,58.3,2016-02-16,1
77,NYR,NSH,1,0,3,0,19,31,25.0,100.0,52.8,2015-11-23,1
78,CAR,MTL,1,0,3,2,29,38,25.0,100.0,57.7,2015-12-05,1
79,SJS,CHI,1,0,2,0,27,33,100.0,100.0,39.3,2016-02-09,0
80,NSH,SJS,1,0,2,1,24,21,0.0,100.0,30.2,2015-10-28,0
81,NYR,OTT,1,0,4,1,31,24,100.0,100.0,63.6,2015-12-06,1
82,ARI,LAK,1,0,3,2,24,28,25.0,100.0,46.6,2016-01-23,1
83,MIN,DAL,1,0,2,1,25,35,0.0,50.0,47.3,2016-01-09,0
84,EDM,BOS,1,0,3,2,24,49,0.0,100.0,48.1,2015-12-14,0
85,DAL,LAK,1,0,3,2,39,26,33.3,100.0,45.3,2016-04-02,0
86,PIT,CAR,1,0,4,2,48,33,0.0,100.0,54.0,2016-03-17,1
87,OTT,STL,1,0,3,2,32,38,66.7,66.7,41.7,2016-01-04,0
88,NJD,DET,1,0,4,3,17,28,20.0,60.0,46.0,2015-12-22,0
89,NYI,ANA,1,0,4,1,29,25,0.0,66.7,43.3,2015-11-13,0
90,DET,CGY,1,0,4,2,35,28,0.0,66.7,70.9,2015-12-20,1
91,COL,MTL,1,0,6,1,24,40,50.0,100.0,50.9,2015-11-14,0
92,LAK,SJS,1,0,4,1,29,40,50.0,100.0,43.8,2015-10-22,0
93,FLA,MTL,1,0,4,3,39,28,50.0,100.0,52.8,2016-04-02,1
94,MTL,ANA,1,0,4,3,23,35,0.0,100.0,37.9,2016-03-22,1
95,BOS,WPG,1,0,6,2,39,36,0.0,80.0,47.9,2016-02-11,0
96,NYI,NYR,1,0,3,1,32,35,50.0,100.0,37.3,2016-01-14,1
