,team,opponent,hits,blocked_shots,giveaways,takeaways,save%,date
9,STL,CBJ,26,15,5,2,6.7,2016-11-05
10,VAN,MTL,26,12,8,8,0.0,2016-11-02
11,CBJ,STL,26,13,1,5,4.8,2016-11-05
12,ARI,NYI,26,20,8,4,8.0,2016-10-21
13,TOR,TBL,26,9,10,10,7.0,2016-10-25
14,NYI,TBL,26,13,8,3,3.7,2016-11-01
15,FLA,DET,26,12,8,2,20.8,2016-10-30
16,WPG,DET,26,12,7,2,16.1,2016-11-04
17,ANA,PIT,26,10,12,4,3.0,2016-11-02
18,NYI,WSH,26,20,5,6,4.5,2016-10-15
19,OTT,VAN,26,25,11,5,4.2,2016-11-03
20,PIT,MIN,25,23,4,2,4.9,2016-11-10
21,BUF,BOS,25,14,10,8,0.0,2016-11-07
22,CGY,ANA,25,9,3,1,3.8,2016-11-06
23,WSH,CHI,25,17,3,8,10.7,2016-11-11
24,PHI,ARI,25,16,13,4,12.5,2016-10-27
25,NYR,SJS,25,18,6,6,24.1,2016-10-17
26,FLA,SJS,25,11,6,4,8.3,2016-11-10
27,CAR,ANA,25,9,5,14,6.7,2016-11-10
28,COL,DAL,25,14,8,12,18.2,2016-10-15
29,NJD,CAR,25,20,6,10,19.0,2016-11-06
30,PIT,ANA,25,13,0,8,6.7,2016-10-15
31,EDM,CGY,25,10,12,8,25.0,2016-10-12
32,CGY,EDM,24,13,12,5,9.8,2016-10-12
33,BOS,TOR,24,13,11,11,4.0,2016-10-15
34,SJS,LAK,24,21,19,15,6.5,2016-10-12
35,BUF,TOR,24,8,9,6,2.3,2016-11-03
36,NYI,SJS,24,17,9,7,8.7,2016-10-18
37,WSH,NYR,24,13,19,10,7.1,2016-10-22
38,NYI,EDM,24,23,11,13,9.1,2016-11-05
39,ANA,ARI,24,9,4,2,15.2,2016-11-04
40,SJS,CGY,24,15,20,12,7.1,2016-11-03
41,TBL,NJD,24,2,3,8,3.0,2016-10-29
42,VAN,TOR,24,16,10,8,10.3,2016-11-05
43,ARI,ANA,24,10,5,6,4.5,2016-11-04
44,BUF,MIN,24,18,2,10,8.3,2016-11-01
45,NYR,NYI,24,16,14,11,12.8,2016-10-13
46,TBL,FLA,24,16,5,6,2.9,2016-11-07
47,PIT,SJS,24,15,10,2,15.0,2016-10-20
48,WPG,BOS,24,10,16,8,2.9,2016-10-17
49,MTL,TBL,24,18,17,2,11.5,2016-10-27
0,MTL,ARI,24,19,12,11,11.6,2016-10-20
1,NYI,VAN,24,23,8,9,12.5,2016-11-07
2,MTL,PHI,24,22,15,10,29.4,2016-11-05
3,PHI,PIT,24,12,8,6,9.5,2016-10-29
4,EDM,WPG,24,11,10,3,9.4,2016-10-23
5,NSH,DET,24,7,5,3,9.1,2016-10-21
6,LAK,CGY,24,11,8,0,12.8,2016-11-05
7,CAR,VAN,24,12,9,3,13.6,2016-10-16
8,OTT,BUF,24,21,9,9,3.0,2016-11-05
9,TBL,NYI,23,15,7,9,14.3,2016-11-10
10,DET,VAN,23,12,6,5,11.1,2016-11-10
11,BOS,MTL,23,21,8,7,4.7,2016-11-08
12,ANA,CGY,23,15,7,2,19.0,2016-11-06
13,NYR,STL,23,7,2,6,5.7,2016-10-15
14,ARI,NSH,23,20,6,3,7.1,2016-11-03
15,NJD,TBL,23,17,6,6,2.6,2016-11-05
16,DAL,COL,23,16,3,6,17.8,2016-10-15
17,EDM,DET,23,17,8,2,7.1,2016-11-06
18,TOR,NYI,23,7,5,11,2.9,2016-10-30
19,COL,NSH,23,20,6,10,3.4,2016-11-01
20,WPG,DAL,23,16,15,9,25.8,2016-11-08
21,CAR,PHI,23,9,7,6,10.3,2016-10-30
22,DAL,WPG,23,20,8,6,11.5,2016-10-25
23,CHI,NSH,23,17,12,8,18.5,2016-10-15
24,NSH,STL,23,18,13,6,10.7,2016-11-10
25,VAN,ANA,23,21,10,4,10.5,2016-10-23
26,WPG,TOR,23,16,15,4,14.7,2016-10-19
27,PHI,ANA,22,16,7,2,9.1,2016-10-20
28,OTT,LAK,22,14,12,8,6.1,2016-11-11
29,CAR,NJD,22,12,6,12,6.1,2016-11-08
30,PIT,COL,22,18,7,3,9.7,2016-10-17
31,ARI,NJD,22,9,3,5,9.7,2016-10-25
32,TBL,TOR,22,13,11,13,29.2,2016-10-25
33,NYR,TBL,22,15,9,11,16.2,2016-10-30
34,BOS,NYR,22,18,5,10,6.9,2016-10-26
35,STL,LAK,22,14,3,5,4.0,2016-10-29
36,STL,EDM,22,18,12,7,2.9,2016-10-20
37,PHI,DET,22,19,8,1,10.0,2016-11-02
38,EDM,STL,22,30,12,12,13.0,2016-10-20
39,STL,CHI,22,9,5,9,3.6,2016-11-09
40,CHI,STL,22,8,11,10,10.5,2016-10-12
41,DET,TBL,22,20,9,3,12.5,2016-10-13
42,NSH,DAL,22,18,10,6,3.6,2016-10-18
43,CAR,NYR,22,12,9,17,14.3,2016-10-28
44,PHI,CAR,22,18,5,4,14.3,2016-10-30
45,TBL,DET,22,9,11,9,16.7,2016-10-13
46,MTL,BOS,22,17,12,11,13.8,2016-10-22
47,NJD,CHI,22,16,7,7,6.3,2016-10-28
48,NJD,TBL,22,8,10,10,13.0,2016-10-29
49,TBL,NYR,22,17,9,6,3.1,2016-10-30
0,PIT,LAK,22,12,8,2,8.7,2016-11-03
1,NYR,WSH,21,15,6,7,15.4,2016-10-22
2,CGY,WSH,21,12,9,6,4.5,2016-10-30
3,CAR,DET,21,7,3,2,6.5,2016-10-25
4,VAN,EDM,21,11,10,9,0.0,2016-10-28
5,BOS,TBL,21,14,8,7,9.7,2016-11-03
6,WSH,PIT,21,15,5,4,4.9,2016-10-13
7,CHI,CGY,21,17,14,12,22.7,2016-11-01
8,OTT,DET,21,10,7,6,3.1,2016-10-17
9,OTT,EDM,21,23,11,6,9.1,2016-10-30
10,STL,MIN,21,17,3,8,9.7,2016-10-13
11,DET,WPG,21,9,8,6,9.1,2016-11-04
12,VAN,NYI,21,13,4,9,6.3,2016-11-07
13,MIN,NJD,21,4,2,4,3.4,2016-10-22
14,NYR,CAR,21,14,1,8,6.7,2016-10-28
15,MTL,LAK,21,16,10,12,17.4,2016-11-10
16,LAK,DAL,21,15,7,6,10.3,2016-10-20
17,COL,FLA,21,8,12,5,7.1,2016-10-22
18,TOR,OTT,21,9,6,8,10.5,2016-10-12
19,ARI,COL,21,14,2,8,16.0,2016-11-08
20,PHI,ARI,21,11,2,1,10.0,2016-10-15
21,CHI,NJD,21,6,5,5,10.3,2016-10-28
22,DAL,EDM,21,17,5,7,10.0,2016-11-11
23,EDM,PIT,21,15,4,3,10.7,2016-11-08
24,DAL,MIN,21,12,2,6,0.0,2016-10-29
25,CBJ,BOS,21,11,17,7,11.8,2016-11-10
26,BOS,NYR,21,11,9,7,5.4,2016-11-05
27,CAR,NJD,21,14,12,11,2.9,2016-11-06
28,WPG,ARI,21,11,3,4,11.1,2016-11-10
29,CHI,PHI,20,9,16,8,25.0,2016-10-18
30,ANA,CBJ,20,10,12,2,0.0,2016-10-28
31,ARI,OTT,20,9,13,8,11.4,2016-10-18
32,CHI,DAL,20,16,5,14,12.1,2016-11-06
33,WSH,WPG,20,5,11,4,11.1,2016-11-01
34,BOS,BUF,20,17,11,5,9.5,2016-11-07
35,OTT,ARI,20,23,16,8,16.7,2016-10-18
36,DAL,ANA,20,10,8,6,20.0,2016-10-13
37,FLA,NJD,20,4,13,10,5.9,2016-10-13
38,MIN,WPG,20,16,10,6,12.9,2016-10-15
39,ANA,NSH,20,16,14,3,23.1,2016-10-26
40,ARI,PHI,20,20,8,4,20.0,2016-10-27
41,TBL,BOS,20,17,9,9,10.0,2016-11-03
42,WPG,WSH,20,19,10,10,11.1,2016-11-03
43,MTL,TOR,20,26,8,4,6.5,2016-10-29
44,DAL,CGY,20,18,3,7,18.2,2016-11-10
45,DET,OTT,20,15,9,5,20.0,2016-10-17
46,VAN,LAK,20,21,5,3,12.0,2016-10-22
47,NYR,ARI,20,28,22,9,11.5,2016-10-23
48,BUF,MIN,20,9,11,6,0.0,2016-10-27
