,home_team,away_team,date,home_team_win,spread,home_spread,home_wins,home_goals,home_shots,home_PP%,home_FOW%,home_PIM,home_hits,home_blocked,home_giveaways,home_takeaways,home_save%,home_shot%,home_PDO,home_corsi,away_spread,away_wins,away_goals,away_shots,away_PP%,away_FOW%,away_PIM,away_hits,away_blocked,away_giveaways,away_takeaways,away_save%,away_shot%,away_PDO,away_corsi
16,TBL,FLA,2016-10-18,1,0,1.5,1.0,4.5,35.0,25.0,53.9,15.0,24.5,10.0,9.0,10.0,12.75,0.127450980392,12.8774509804,2.0,2.0,1.0,3.0,36.0,0.0,49.25,10.0,17.0,9.5,14.0,13.0,8.2,0.0820433436533,8.28204334365,13.0
17,VAN,STL,2016-10-18,1,1,0.5,1.0,2.5,31.0,0.0,49.55,5.0,13.5,11.5,8.5,6.5,8.05,0.0806451612903,8.13064516129,7.5,1.0,1.0,3.0,24.5,10.0,47.45,9.0,17.5,15.0,2.5,7.5,13.2,0.131720430108,13.3317204301,-3.5
18,WSH,COL,2016-10-18,1,3,0.5,0.5,2.0,34.5,25.0,44.4,7.5,25.5,14.5,13.5,11.5,6.9,0.0690476190476,6.96904761905,-2.5,1.0,1.0,5.0,32.0,53.35,62.55,11.0,23.5,16.0,7.5,7.5,13.95,0.139296187683,14.0892961877,2.5
19,NYR,DET,2016-10-19,0,-1,1.0,0.5,4.5,32.0,26.65,49.75,7.0,19.5,15.5,4.0,6.5,20.4,0.204022988506,20.6040229885,-9.5,0.5,0.5,3.0,23.5,25.0,47.0,13.0,17.0,15.0,12.0,10.5,15.25,0.152631578947,15.4026315789,4.5
20,WPG,TOR,2016-10-19,1,1,-2.0,0.0,2.0,26.0,12.5,49.5,10.5,22.0,13.0,13.0,7.0,7.9,0.078801843318,7.97880184332,12.0,1.0,0.5,4.0,31.0,0.0,55.0,16.5,29.0,21.5,10.0,7.5,16.7,0.166666666667,16.8666666667,-4.5
21,BOS,NJD,2016-10-20,1,1,0.0,0.5,2.5,25.0,0.0,52.65,13.0,26.0,14.0,12.5,8.5,9.8,0.097619047619,9.89761904762,4.5,0.0,0.5,2.0,31.0,14.3,50.15,11.5,21.5,11.5,7.0,8.5,7.95,0.0798319327731,8.02983193277,2.0
22,CGY,CAR,2016-10-20,0,-2,0.5,0.5,2.5,29.5,0.0,48.15,9.0,13.5,9.0,13.5,7.0,7.5,0.0749525616698,7.57495256167,9.5,-1.0,0.0,2.5,27.5,0.0,43.45,4.0,17.0,15.0,11.5,10.5,11.8,0.118087557604,11.9180875576,2.0
23,DAL,LAK,2016-10-20,0,-1,0.0,0.5,3.5,32.5,50.0,54.95,7.0,23.5,16.0,9.0,9.0,10.9,0.108766233766,11.0087662338,-2.0,-2.5,0.0,2.5,27.5,12.5,55.6,8.0,23.0,19.0,9.0,4.5,15.55,0.155384615385,15.7053846154,-4.5
24,EDM,STL,2016-10-20,1,2,-1.5,0.5,2.5,30.5,0.0,43.45,10.0,25.0,13.0,12.5,9.0,8.4,0.0838744588745,8.48387445887,2.0,0.0,0.5,2.0,21.0,10.0,45.15,5.0,13.5,11.0,4.0,7.5,12.2,0.121794871795,12.3217948718,-7.5
25,FLA,WSH,2016-10-20,0,-2,1.5,0.5,3.5,34.5,0.0,45.9,7.0,14.5,11.0,13.0,12.0,10.6,0.106203007519,10.7062030075,6.5,2.0,1.0,2.5,34.0,20.0,50.8,8.5,16.5,11.5,16.5,13.0,7.3,0.0732142857143,7.37321428571,14.0
26,MIN,TOR,2016-10-20,1,1,2.0,1.0,5.0,28.5,25.0,51.65,11.5,17.0,20.5,9.0,7.0,18.0,0.179900744417,18.1799007444,5.0,1.0,0.5,4.0,32.0,16.65,58.9,11.0,25.5,17.0,12.0,6.5,15.7,0.156862745098,15.8568627451,-3.5
27,MTL,ARI,2016-10-20,1,3,2.0,0.5,3.5,28.0,8.35,58.75,13.0,25.0,12.0,11.5,4.5,10.2,0.101973684211,10.3019736842,5.0,-1.0,0.5,4.0,35.0,33.35,47.1,11.0,25.0,19.5,9.0,5.0,14.05,0.140476190476,14.1904761905,6.0
28,PHI,ANA,2016-10-20,0,-1,-2.0,0.0,3.5,28.5,41.7,46.65,8.0,25.0,12.5,9.0,5.0,18.2,0.182142857143,18.3821428571,3.0,-1.0,0.0,1.5,25.0,14.3,43.6,11.5,17.0,16.0,6.5,7.0,8.55,0.0857142857143,8.63571428571,4.0
29,PIT,SJS,2016-10-20,1,1,-2.5,0.0,1.5,33.5,28.35,58.9,15.0,20.5,13.5,11.0,3.5,11.1,0.110887096774,11.2108870968,-2.0,-1.0,0.5,3.5,29.0,16.65,58.85,6.0,24.5,17.5,7.5,6.5,16.4,0.164167916042,16.564167916,-3.0
30,TBL,COL,2016-10-20,0,-4,0.5,1.0,3.0,31.0,0.0,49.35,9.0,21.0,9.0,9.0,9.5,9.75,0.0976890756303,9.84768907563,-1.5,-1.0,0.5,2.0,24.5,40.0,58.5,13.5,19.5,13.5,11.5,7.5,8.6,0.0858870967742,8.68588709677,11.0
31,VAN,BUF,2016-10-20,1,1,1.0,1.0,3.0,28.5,0.0,48.25,5.0,14.5,12.0,8.0,9.0,10.3,0.102977667494,10.4029776675,5.5,1.5,0.5,4.5,22.5,0.0,46.9,14.0,24.0,10.5,16.0,9.0,8.95,0.0891265597148,9.03912655971,11.0
32,CBJ,CHI,2016-10-21,1,1,-2.0,0.0,2.5,29.5,41.65,52.25,8.0,22.0,13.5,7.0,4.5,8.4,0.0841013824885,8.48410138249,-8.0,2.5,1.0,6.0,27.5,66.7,48.25,6.0,21.5,13.0,14.0,8.0,21.75,0.217592592593,21.9675925926,-4.0
33,DET,NSH,2016-10-21,1,2,2.5,1.0,3.5,21.5,25.0,53.5,14.0,19.5,14.5,10.0,11.5,11.5,0.115151515152,11.6151515152,4.0,-1.5,0.0,2.0,32.0,50.0,47.9,5.0,22.5,17.5,11.0,7.0,11.05,0.11044973545,11.1604497354,-9.0
34,NYI,ARI,2016-10-21,1,1,0.0,0.5,2.5,26.5,0.0,49.5,6.0,21.0,18.5,7.5,7.5,9.35,0.0934782608696,9.44347826087,0.0,-3.0,0.0,3.0,32.0,37.5,47.95,10.0,22.0,21.0,14.0,9.5,14.15,0.141472868217,14.2914728682,10.5
35,BOS,MTL,2016-10-22,0,-2,2.0,1.0,3.0,30.5,0.0,45.8,7.0,26.5,14.0,10.0,5.5,4.25,0.0420634920635,4.29206349206,8.5,3.5,1.0,4.5,37.5,20.85,50.05,11.0,21.5,14.0,13.5,7.5,12.05,0.120639534884,12.1706395349,5.0
36,CGY,STL,2016-10-22,0,-2,-0.5,0.5,3.0,30.0,0.0,45.65,14.0,16.5,13.5,15.5,8.0,9.75,0.0972850678733,9.84728506787,3.5,-1.5,0.0,1.0,29.5,0.0,52.9,6.0,17.5,19.5,9.0,10.0,10.35,0.103678929766,10.4536789298,-5.0
37,CHI,TOR,2016-10-22,1,0,1.0,0.5,4.5,31.0,83.35,51.25,8.0,20.0,14.5,9.0,5.5,17.85,0.178571428571,18.0285714286,-2.5,-1.0,0.0,3.0,36.5,16.65,59.3,5.0,19.5,14.5,12.5,7.0,12.9,0.12908496732,13.0290849673,-6.0
38,DAL,CBJ,2016-10-22,0,-3,0.0,0.5,2.5,28.5,29.15,54.8,17.5,16.0,19.0,11.5,5.0,9.3,0.0928571428571,9.39285714286,-14.0,0.0,0.5,2.5,28.0,75.0,55.85,9.0,17.5,16.0,3.5,3.5,8.9,0.0892857142857,8.98928571429,-8.0
39,DET,SJS,2016-10-22,1,3,1.5,1.0,3.5,30.5,14.3,53.95,11.5,18.5,12.5,8.0,13.5,7.3,0.0732910500352,7.37329105004,12.5,0.0,0.5,2.5,30.5,10.0,56.4,4.0,24.0,16.0,9.5,4.5,11.85,0.11847826087,11.9684782609,-9.0
40,FLA,COL,2016-10-22,1,3,-1.0,0.0,2.5,29.5,12.5,51.65,5.0,14.5,7.5,8.0,12.0,8.9,0.0892857142857,8.98928571429,-2.0,0.5,0.5,2.0,17.0,20.0,52.15,11.0,23.0,8.0,11.0,11.0,3.75,0.0375,3.7875,16.5
41,LAK,VAN,2016-10-22,1,0,-1.0,0.5,3.5,34.5,25.0,54.65,19.5,12.0,22.5,10.5,6.0,19.05,0.190384615385,19.2403846154,-11.5,1.0,1.0,2.0,23.0,10.0,47.9,8.0,13.0,10.5,6.5,5.0,8.85,0.0884615384615,8.93846153846,-2.5
42,NJD,MIN,2016-10-22,1,1,0.0,0.5,1.5,28.5,14.3,48.15,9.5,22.5,15.0,5.5,4.5,6.35,0.0634920634921,6.41349206349,5.5,2.0,1.0,4.5,26.5,12.5,55.2,8.0,15.0,19.0,9.0,9.0,17.1,0.17094017094,17.2709401709,-5.0
43,NSH,PIT,2016-10-22,1,4,-1.5,0.0,2.0,30.5,30.95,49.2,10.5,20.0,14.5,7.5,7.5,7.6,0.0759966777409,7.67599667774,0.5,-1.5,0.5,1.5,28.0,18.35,53.35,11.0,21.5,12.0,12.5,3.0,13.75,0.1375,13.8875,-9.0
44,OTT,TBL,2016-10-22,0,-3,-0.5,0.5,4.0,37.0,50.0,49.55,17.0,20.0,19.0,12.5,6.5,18.35,0.183333333333,18.5333333333,0.0,-2.0,0.5,1.5,27.5,0.0,48.9,8.5,22.0,7.0,8.5,9.0,5.35,0.0535714285714,5.40357142857,4.0
45,PHI,CAR,2016-10-22,1,3,-2.0,0.0,3.0,24.5,40.5,44.1,7.0,21.0,12.5,11.5,5.0,17.05,0.170454545455,17.2204545455,-1.5,0.5,0.5,3.0,32.5,0.0,42.2,10.0,17.5,16.0,12.0,8.0,9.2,0.092032967033,9.29203296703,-5.5
46,WSH,NYR,2016-10-22,0,-2,2.5,1.0,3.5,34.5,32.5,54.9,7.5,15.5,8.5,10.5,14.0,7.3,0.0732142857143,7.37321428571,10.5,1.0,0.5,4.0,31.0,16.65,57.65,9.0,22.0,16.0,8.5,12.0,13.55,0.135841170324,13.6858411703,6.5
47,ANA,VAN,2016-10-23,1,2,0.0,0.5,2.0,25.0,21.45,43.8,9.5,19.0,14.0,7.0,4.0,8.1,0.0811688311688,8.18116883117,0.0,0.5,0.5,2.5,22.5,26.65,52.5,13.5,22.0,10.0,8.5,5.0,9.85,0.0983870967742,9.94838709677,-0.5
48,NYI,MIN,2016-10-23,1,3,0.0,0.5,2.5,27.0,0.0,47.6,6.0,21.5,16.0,8.0,6.5,9.2,0.0918653576438,9.29186535764,1.0,0.0,0.5,2.0,28.0,0.0,56.15,6.0,21.5,10.0,11.0,7.0,8.7,0.0868055555556,8.78680555556,-1.5
49,NYR,ARI,2016-10-23,1,1,0.5,0.5,2.5,29.5,0.0,56.05,7.0,21.5,13.5,15.0,14.0,5.05,0.0508658008658,5.10086580087,8.5,-2.0,0.0,2.0,27.0,12.5,40.4,8.0,21.5,17.0,9.5,8.5,10.65,0.106526631658,10.7565266317,10.0
50,WPG,EDM,2016-10-23,0,-3,-1.0,0.5,3.0,34.5,16.65,50.05,6.0,23.5,13.0,15.5,6.0,8.8,0.0878151260504,8.88781512605,2.0,1.5,1.0,3.0,25.5,0.0,48.1,5.0,20.0,22.5,12.5,11.5,11.85,0.118788819876,11.9687888199,-8.5
51,CHI,CGY,2016-10-24,0,0,-0.5,0.5,3.0,34.5,50.0,53.35,6.0,16.0,15.5,6.0,4.5,11.05,0.110714285714,11.1607142857,-2.5,-2.0,0.0,3.0,26.5,0.0,48.3,13.0,16.5,14.0,13.0,7.0,11.25,0.112535612536,11.3625356125,-9.5
52,MTL,PHI,2016-10-24,1,2,2.5,1.0,4.5,36.0,20.85,44.4,10.0,27.5,12.5,9.0,9.5,10.55,0.105758582503,10.6557585825,3.0,1.0,0.5,4.0,24.5,19.65,44.15,9.0,17.5,19.5,8.0,2.5,15.65,0.156565656566,15.8065656566,-3.5
