,home_team,away_team,date,home_team_win,spread,home_spread,home_wins,home_goals,home_shots,home_PP%,home_FOW%,home_PIM,home_hits,home_blocked,home_giveaways,home_takeaways,home_save%,home_shot%,home_PDO,home_corsi,away_spread,away_wins,away_goals,away_shots,away_PP%,away_FOW%,away_PIM,away_hits,away_blocked,away_giveaways,away_takeaways,away_save%,away_shot%,away_PDO,away_corsi
0,EDM,BUF,2016-10-16,0,-4,2.5,1.0,6.0,28.5,8.35,47.25,12.5,17.5,10.5,10.5,6.5,16.8,0.167857142857,16.9678571429,-3.5,-3.0,0.0,1.0,31.0,20.0,61.5,6.0,28.0,8.0,8.0,3.0,3.2,0.0322580645161,3.23225806452,7.0
1,NYI,ANA,2016-10-16,1,1,-1.5,0.0,2.0,25.0,10.0,49.9,5.0,20.0,15.0,15.5,12.5,9.95,0.0998168498168,10.0498168498,8.5,-1.5,0.0,2.0,35.5,16.65,39.0,8.0,22.5,11.5,4.0,7.0,13.35,0.133333333333,13.4833333333,-3.0
2,VAN,CAR,2016-10-16,1,1,0.0,1.0,1.0,31.0,0.0,50.8,6.0,11.0,8.0,7.0,3.0,3.2,0.0322580645161,3.23225806452,6.0,-1.0,0.0,4.0,27.0,20.0,35.8,10.0,18.0,12.0,13.0,9.0,19.2,0.192307692308,19.3923076923,-1.0
3,DET,OTT,2016-10-17,1,4,-2.5,0.0,2.5,27.0,25.0,50.45,13.0,18.0,12.0,13.0,12.5,13.6,0.135964912281,13.7359649123,10.0,0.5,1.0,4.0,34.0,0.0,55.9,12.5,30.5,20.0,9.5,5.5,12.3,0.122807017544,12.4228070175,3.0
4,NYR,SJS,2016-10-17,1,3,0.5,0.5,3.5,37.0,20.0,46.85,5.0,19.0,14.5,8.0,9.0,14.75,0.147435897436,14.8974358974,-3.0,1.0,1.0,2.5,34.5,41.65,54.15,7.0,19.5,16.5,12.0,9.5,6.8,0.0679723502304,6.86797235023,-0.5
5,PIT,COL,2016-10-17,0,-1,0.5,1.0,2.5,37.5,41.65,41.2,8.5,30.0,14.0,5.0,8.5,6.7,0.0666666666667,6.76666666667,-1.0,1.0,1.0,6.0,33.0,66.7,61.5,8.0,25.0,14.0,8.0,12.0,18.2,0.181818181818,18.3818181818,5.0
6,WPG,BOS,2016-10-17,0,-3,0.0,0.5,4.0,21.5,22.5,45.5,11.5,19.0,14.0,11.5,7.5,16.05,0.160669975186,16.2106699752,6.5,0.0,0.5,3.5,31.0,16.65,53.85,12.0,28.5,16.5,9.0,7.0,13.2,0.131720430108,13.3317204301,-3.5
7,CGY,BUF,2016-10-18,1,1,-1.66666666667,0.0,2.66666666667,33.6666666667,5.56666666667,48.4333333333,10.3333333333,15.3333333333,9.66666666667,9.33333333333,5.33333333333,12.2666666667,0.122657450077,12.3893241167,-0.333333333333,0.5,0.5,3.5,27.5,10.0,54.9,11.0,30.0,9.5,10.0,5.0,4.65,0.0464320625611,4.69643206256,8.0
8,CHI,PHI,2016-10-18,1,3,-0.666666666667,0.333333333333,3.0,23.3333333333,47.2333333333,47.8,11.3333333333,21.3333333333,14.6666666667,10.0,8.66666666667,13.3666666667,0.133853151397,13.5005198181,-6.66666666667,0.5,0.5,3.5,30.0,8.35,53.65,7.0,31.0,14.5,6.0,1.5,9.7,0.0971428571429,9.79714285714,0.0
9,EDM,CAR,2016-10-18,1,1,0.333333333333,0.666666666667,4.66666666667,30.0,5.56666666667,47.6,13.6666666667,22.3333333333,10.6666666667,11.0,6.66666666667,13.2333333333,0.132106782107,13.3654401154,0.666666666667,-1.0,0.0,3.5,24.5,10.0,42.05,7.0,17.0,13.5,11.5,9.5,16.05,0.160669975186,16.2106699752,4.0
