,team,opponent,hits,blocked_shots,giveaways,takeaways,save%,date
36,ANA,EDM,25,16,16,8,2.9,2015-12-31
37,ARI,VAN,25,20,2,9,2.9,2016-02-10
38,COL,VAN,25,7,11,7,3.3,2016-02-09
39,PIT,MTL,25,12,10,8,8.8,2015-11-11
40,PHI,BOS,25,11,13,4,14.3,2016-01-13
41,STL,NYR,25,16,8,6,8.8,2015-11-12
42,LAK,STL,25,14,2,9,8.8,2015-11-03
43,LAK,ARI,25,13,14,3,5.7,2015-11-10
44,TBL,PHI,25,8,14,3,5.3,2016-03-11
45,DAL,ARI,25,26,3,4,2.6,2016-03-24
46,LAK,VAN,25,8,11,3,0.0,2015-10-13
47,VAN,EDM,25,6,17,5,2.9,2015-10-18
48,WSH,NYI,25,19,9,10,10.5,2016-01-07
49,LAK,VAN,25,18,6,5,17.2,2016-03-07
0,LAK,NSH,25,10,8,1,13.8,2015-10-31
1,FLA,SJS,25,13,13,11,6.1,2015-11-05
2,MTL,OTT,25,8,17,4,2.7,2015-11-03
3,WPG,NSH,25,24,15,4,20.8,2016-01-14
4,BOS,FLA,25,11,7,4,12.0,2015-12-12
5,NJD,CGY,25,7,8,8,15.4,2016-01-19
6,PIT,PHI,25,20,11,8,5.3,2016-04-09
7,LAK,VAN,25,5,9,2,5.0,2015-12-01
8,BUF,EDM,25,13,6,7,5.9,2015-12-06
9,COL,PIT,25,13,5,3,7.7,2015-12-09
10,PIT,NSH,25,20,3,9,12.2,2016-03-31
11,BOS,BUF,25,8,6,1,12.9,2016-01-15
12,FLA,TBL,25,10,9,9,5.0,2015-11-16
13,TOR,DET,25,10,2,17,3.0,2015-11-06
14,MTL,PHI,25,7,6,1,12.5,2016-01-05
15,BUF,CAR,25,10,2,10,12.0,2016-03-22
16,ANA,DAL,25,10,18,3,15.0,2015-10-27
17,PIT,FLA,25,14,9,10,3.1,2016-02-15
18,VAN,EDM,25,9,11,3,8.3,2015-12-26
19,PHI,OTT,25,20,10,5,12.1,2015-12-01
20,NYI,WSH,25,15,5,4,7.7,2016-02-04
21,MIN,CAR,25,21,8,13,14.3,2015-11-12
22,PIT,EDM,25,12,13,11,6.1,2015-11-06
23,PIT,NYR,25,8,6,8,0.0,2016-02-10
24,MTL,DET,25,12,6,2,10.3,2016-03-24
25,BOS,PIT,25,14,11,8,10.3,2015-12-16
26,BUF,DET,25,19,3,1,8.6,2016-01-02
27,MTL,STL,25,18,18,10,8.3,2015-10-20
28,PHI,NYR,25,14,12,6,5.6,2016-01-16
29,WPG,DAL,24,20,7,11,3.0,2016-01-07
30,EDM,LAK,24,18,15,13,7.1,2015-10-25
31,CGY,WPG,24,17,11,15,12.1,2015-12-22
32,TBL,EDM,24,13,11,5,11.5,2016-01-08
33,TBL,NJD,24,11,12,4,8.3,2016-04-02
34,TOR,FLA,24,17,5,13,11.5,2016-04-04
35,NJD,BOS,24,15,7,6,3.3,2015-12-20
36,PIT,CAR,24,3,5,6,2.6,2015-12-19
37,WSH,BUF,24,16,9,6,11.6,2015-12-30
38,CGY,TBL,24,17,6,11,12.5,2016-01-05
39,CAR,WSH,24,13,5,5,3.1,2015-12-21
40,BOS,BUF,24,10,10,4,5.3,2016-02-06
41,EDM,CBJ,24,16,23,7,14.3,2016-02-02
42,MIN,PHI,24,16,14,3,7.7,2016-02-25
43,WPG,TBL,24,12,4,9,12.2,2016-02-18
44,EDM,NYR,24,10,11,4,18.9,2015-12-11
45,WPG,PHI,24,9,11,7,0.0,2015-11-07
46,NJD,DET,24,10,7,6,0.0,2016-01-04
47,PIT,BUF,24,11,8,8,8.7,2016-03-29
48,MIN,TBL,24,7,7,2,6.3,2016-01-02
49,ARI,WPG,24,20,7,1,19.0,2015-12-31
0,COL,CAR,24,22,10,11,6.3,2015-10-30
1,PIT,WSH,24,19,13,2,12.0,2015-10-28
2,NSH,ARI,24,18,10,4,12.2,2015-12-01
3,ARI,TBL,24,17,5,3,0.0,2016-03-19
4,BUF,MTL,24,13,12,7,27.3,2016-02-12
5,NSH,EDM,24,15,16,8,12.0,2016-03-14
6,BUF,ARI,24,10,7,7,17.8,2015-12-04
7,TBL,DAL,24,8,4,6,9.1,2015-10-15
8,DET,PIT,24,10,2,0,7.9,2016-02-18
9,EDM,ANA,24,24,16,8,5.6,2016-02-26
10,DET,ARI,24,8,4,5,12.0,2016-01-14
11,WSH,NYR,24,14,2,9,23.3,2015-12-20
12,FLA,TOR,24,7,6,14,11.1,2016-04-04
13,MTL,CAR,24,16,19,10,2.9,2016-02-07
14,FLA,TBL,24,9,4,3,14.3,2016-01-23
15,WPG,EDM,24,14,6,7,2.5,2016-03-06
16,FLA,NSH,24,21,7,8,12.5,2015-12-03
17,MTL,PIT,24,14,12,5,2.9,2016-01-09
18,NSH,NYR,24,14,7,8,0.0,2015-11-23
19,NYI,NJD,24,12,2,9,4.2,2016-02-19
20,CGY,ANA,24,14,15,8,0.0,2015-12-29
21,TOR,SJS,24,20,9,8,0.0,2016-01-09
22,PIT,TOR,24,15,3,6,12.5,2015-10-31
23,MTL,BOS,24,9,11,3,12.1,2015-11-07
24,DET,COL,24,11,1,2,17.8,2016-02-27
25,BUF,BOS,24,8,4,7,2.9,2016-01-15
26,BOS,OTT,24,3,13,0,2.5,2016-04-09
27,FLA,NSH,24,13,17,12,0.0,2016-02-13
28,BOS,NYR,24,13,6,1,11.8,2015-11-27
29,PHI,EDM,24,12,10,3,0.0,2016-03-03
30,CAR,SJS,24,8,4,10,13.5,2016-02-19
31,ARI,PHI,24,12,4,10,6.5,2016-02-27
32,TBL,TOR,24,16,11,7,7.1,2016-02-29
33,DAL,CHI,24,5,14,3,2.7,2016-02-06
34,FLA,ARI,24,8,4,1,3.0,2016-03-05
35,CGY,FLA,24,16,2,4,10.7,2015-11-10
36,NYI,TOR,24,21,16,10,28.6,2015-12-29
37,BOS,NYR,24,8,3,4,3.0,2016-01-11
38,CBJ,OTT,24,21,6,2,10.0,2016-02-13
39,NSH,BOS,24,16,4,7,9.1,2015-12-07
40,CGY,LAK,24,9,8,2,4.3,2016-02-23
41,DAL,ANA,24,13,21,6,8.3,2016-01-15
42,BOS,CBJ,24,13,8,6,13.3,2016-02-22
43,TBL,NYI,24,6,7,3,6.5,2015-11-28
44,STL,CHI,24,17,3,2,20.7,2015-11-04
45,BOS,DET,24,16,11,5,9.7,2015-11-14
46,BUF,LAK,24,17,3,4,6.7,2015-12-12
47,WPG,BUF,24,16,3,7,10.5,2016-03-26
48,MTL,LAK,24,10,10,0,13.3,2016-03-03
49,CBJ,DET,24,20,5,3,15.6,2016-03-08
0,PHI,NYI,24,18,9,11,14.8,2016-03-21
1,WSH,MTL,24,26,18,3,15.8,2015-12-03
2,ARI,CHI,24,14,3,2,6.5,2016-04-05
3,CAR,OTT,24,12,7,9,6.5,2015-11-07
4,SJS,OTT,24,13,16,8,8.6,2016-01-18
5,BUF,BOS,24,9,7,7,20.7,2015-12-26
6,TOR,LAK,24,7,6,2,3.8,2016-01-07
7,ANA,NJD,24,11,11,4,25.9,2016-03-14
8,PIT,CAR,24,7,11,3,8.3,2016-03-17
9,PHI,EDM,24,26,7,2,9.1,2015-11-03
10,MTL,TBL,24,16,10,6,8.8,2015-12-28
11,EDM,ARI,24,10,6,8,3.6,2015-11-12
12,MTL,PHI,24,17,11,1,6.3,2016-02-02
13,CGY,NJD,24,11,5,2,7.1,2016-01-19
14,NSH,COL,24,6,12,6,5.6,2015-12-12
15,DAL,COL,24,4,4,4,9.1,2016-02-04
16,STL,NSH,24,11,2,7,16.0,2015-12-29
17,STL,ARI,24,11,1,1,15.0,2016-02-20
18,NJD,CBJ,24,5,9,4,4.2,2015-10-27
19,CHI,NJD,24,8,1,5,6.9,2015-11-12
20,NYR,MTL,24,12,18,7,2.9,2015-11-25
21,ANA,DET,24,16,8,5,3.2,2016-01-10
22,COL,VAN,24,21,2,5,8.8,2016-03-16
23,NSH,TOR,24,16,11,8,4.5,2015-11-12
24,DET,NJD,24,15,3,11,4.8,2016-01-04
25,FLA,NYI,24,13,3,4,7.4,2015-11-27
26,OTT,CAR,24,21,14,3,18.2,2016-02-18
27,DET,TOR,24,5,14,2,0.0,2016-03-13
28,DAL,FLA,24,14,20,6,5.7,2015-10-24
29,WPG,COL,24,18,4,8,10.0,2016-03-12
30,NJD,WSH,24,12,2,5,0.0,2016-03-25
31,DET,WPG,24,8,10,1,8.6,2016-03-10
32,PIT,NYR,24,12,8,6,15.4,2016-03-03
33,VAN,ANA,24,8,11,5,10.7,2016-04-01
34,LAK,EDM,24,11,10,4,14.3,2015-11-14
35,CHI,EDM,24,11,15,5,14.3,2015-11-08
36,NYR,BUF,24,11,5,5,15.4,2016-03-08
37,TBL,NYI,24,8,8,10,5.9,2016-04-04
38,TBL,WSH,24,14,9,10,15.8,2015-12-18
39,TBL,ANA,24,18,12,7,9.1,2015-12-02
40,EDM,ANA,24,10,6,6,14.8,2015-11-11
41,VAN,BUF,24,10,8,4,16.1,2015-12-07
42,NYI,FLA,24,18,19,5,10.7,2016-03-14
43,BUF,NSH,24,5,7,4,6.3,2015-11-25
44,BOS,DAL,24,11,8,9,7.7,2015-11-03
45,CHI,TBL,24,21,3,7,3.1,2015-10-24
46,WSH,CAR,24,27,7,9,9.5,2015-12-21
47,WPG,ARI,24,23,15,6,13.5,2016-01-26
48,BOS,MIN,24,16,6,7,21.1,2016-02-13
49,BUF,PHI,24,13,8,8,2.4,2016-02-11
0,BUF,DET,24,9,5,2,12.5,2015-12-01
1,SJS,NYR,24,17,15,7,7.7,2016-03-19
2,MTL,TBL,23,18,3,6,12.5,2016-03-31
3,TBL,SJS,23,13,5,6,6.7,2016-02-16
4,DET,SJS,23,3,9,3,7.1,2015-11-13
5,SJS,WPG,23,14,26,7,3.6,2016-01-02
6,ARI,COL,23,16,4,6,14.3,2015-11-05
7,VAN,OTT,23,12,7,6,13.9,2016-02-25
8,TBL,COL,23,7,8,7,2.9,2015-10-29
9,WPG,WSH,23,19,14,10,5.6,2015-12-05
10,NJD,WSH,23,14,7,11,8.3,2016-02-06
11,NYR,TOR,23,13,8,2,11.5,2015-10-30
12,WSH,NYI,23,33,6,10,13.0,2016-02-04
13,DET,NSH,23,8,3,4,13.9,2015-12-05
14,NYI,PIT,23,22,7,4,7.4,2016-03-08
15,TBL,FLA,23,16,6,4,14.3,2015-11-14
16,NJD,EDM,23,7,5,12,7.7,2016-02-09
17,CAR,PIT,23,13,12,16,14.3,2016-01-12
18,SJS,DET,23,13,14,9,2.8,2016-01-07
19,WSH,NJD,23,8,4,1,3.8,2016-03-25
20,FLA,NJD,23,6,7,8,5.6,2015-12-06
21,NJD,BOS,23,11,7,2,13.3,2016-03-29
22,NYI,OTT,23,17,6,4,6.5,2015-12-05
23,CGY,EDM,23,14,7,8,14.3,2016-04-02
24,OTT,ANA,23,13,16,5,4.0,2016-01-13
25,COL,OTT,23,18,7,5,14.8,2016-02-11
26,OTT,WPG,23,15,12,6,6.5,2015-11-05
27,SJS,BUF,23,10,11,9,4.0,2016-02-26
28,MIN,DAL,23,26,7,5,8.0,2016-01-09
29,DET,CBJ,23,7,5,11,3.6,2016-02-23
30,COL,LAK,23,17,1,4,12.1,2016-01-04
31,EDM,NYI,23,20,19,8,11.5,2016-02-28
32,TBL,OTT,23,11,14,7,3.1,2016-02-08
33,MTL,BOS,23,17,18,5,2.6,2016-01-19
34,WPG,DAL,23,10,10,5,21.4,2016-02-25
35,NJD,CAR,23,13,5,7,12.5,2015-12-29
36,ARI,NYI,23,20,9,10,6.1,2015-11-16
37,ARI,ANA,23,8,3,8,11.8,2015-11-25
38,PHI,NJD,23,8,2,4,16.0,2015-12-04
39,PIT,CAR,23,19,3,11,3.8,2016-02-12
40,BUF,DET,23,11,8,5,10.0,2016-03-28
41,MIN,BOS,23,10,16,6,7.7,2015-11-19
42,BUF,WPG,23,13,7,7,13.8,2016-01-10
43,PHI,NJD,23,7,5,10,23.1,2016-02-16
44,MIN,PIT,23,14,11,11,3.8,2015-12-26
45,PHI,ARI,23,32,17,4,12.1,2016-02-27
46,STL,ANA,23,9,5,5,5.9,2015-10-29
47,PHI,SJS,23,10,12,9,10.5,2015-12-30
48,PIT,NYR,23,24,12,13,9.4,2016-03-27
49,WPG,NSH,23,12,10,6,3.7,2016-01-21
0,LAK,CGY,23,12,6,1,5.4,2016-02-23
1,DAL,WSH,23,14,10,11,11.4,2016-02-13
2,ARI,CGY,23,19,4,6,9.5,2015-11-27
3,NSH,WSH,23,16,6,10,4.8,2016-03-18
4,FLA,OTT,23,10,8,4,2.9,2016-04-07
5,TOR,COL,23,9,1,12,31.8,2015-12-21
6,WPG,EDM,23,10,8,6,2.2,2015-12-21
7,WPG,DET,23,20,6,6,8.0,2016-03-10
8,MTL,TOR,23,12,16,5,18.5,2015-10-24
9,TOR,NYR,23,6,3,7,11.5,2015-11-15
10,WSH,TBL,23,23,3,5,10.0,2015-12-12
11,MTL,BOS,23,14,15,11,3.0,2015-12-09
12,NYR,BOS,23,15,9,11,11.1,2015-11-27
13,LAK,PIT,23,10,13,9,13.5,2015-12-05
14,CBJ,SJS,23,17,7,8,20.8,2015-11-03
15,DAL,FLA,23,10,6,1,10.8,2015-10-17
16,NSH,CHI,23,15,11,8,14.7,2015-12-10
17,EDM,DAL,23,12,6,7,8.0,2016-01-21
18,MTL,NSH,23,5,6,8,2.8,2015-12-21
19,NJD,NSH,23,18,10,5,15.2,2016-03-03
20,CBJ,PHI,23,16,8,7,3.8,2016-03-22
21,WPG,STL,23,6,3,11,3.0,2016-02-09
22,PIT,MTL,23,20,15,3,9.4,2016-01-09
23,BUF,BOS,23,15,5,3,7.1,2016-02-04
24,SJS,OTT,23,15,5,6,6.1,2015-12-18
25,ARI,EDM,23,19,9,8,8.8,2016-01-02
26,STL,TOR,23,10,5,5,3.6,2015-12-05
27,EDM,WSH,23,12,10,4,17.4,2015-10-23
28,DET,WSH,23,7,4,4,3.7,2015-11-10
29,NYR,DET,23,14,14,4,15.0,2016-04-09
30,ARI,TBL,23,22,3,7,3.3,2016-02-23
31,PIT,CBJ,23,6,3,3,4.0,2015-11-27
32,BUF,STL,23,10,4,6,5.9,2015-11-19
33,VAN,ANA,23,7,10,2,9.5,2016-02-18
34,FLA,CAR,23,18,6,11,13.3,2015-10-13
35,COL,STL,23,15,8,8,12.1,2016-01-06
36,ARI,WPG,23,10,9,6,5.9,2016-01-26
37,PIT,WPG,23,10,6,5,12.1,2016-02-27
38,WPG,ANA,23,18,17,8,7.7,2016-04-05
39,ANA,ARI,23,15,11,7,0.0,2015-10-14
40,CAR,LAK,23,16,7,15,13.8,2015-11-22
41,BOS,CHI,23,17,10,11,16.0,2016-03-03
42,SJS,WSH,23,18,16,12,17.8,2016-03-12
43,OTT,DET,23,7,5,3,4.3,2016-02-10
44,WPG,CHI,23,15,9,9,12.5,2016-04-01
45,VAN,COL,23,14,9,4,17.2,2016-02-21
46,ARI,DET,23,14,5,4,3.7,2015-12-03
47,PIT,DET,23,11,6,5,15.4,2016-02-18
48,EDM,PHI,23,28,5,7,12.9,2016-03-03
49,PIT,OTT,23,16,6,8,5.6,2015-10-15
0,LAK,TOR,23,14,12,2,4.9,2016-01-07
1,COL,FLA,23,19,4,8,11.5,2016-03-03
2,VAN,BOS,23,14,20,6,14.8,2016-01-21
3,ANA,CGY,23,13,11,4,15.2,2016-02-21
4,BUF,NYR,23,11,7,10,11.5,2016-01-25
5,DET,LAK,23,13,7,4,10.3,2015-11-20
6,CHI,LAK,23,15,9,3,0.0,2016-03-14
7,BUF,LAK,23,12,8,3,0.0,2016-02-27
8,MIN,WPG,23,10,6,5,6.7,2015-11-27
9,NYI,FLA,23,7,12,5,2.9,2015-12-15
10,SJS,TBL,23,13,14,7,8.8,2015-12-05
11,CGY,NYR,23,16,7,2,4.3,2015-10-25
12,VAN,TOR,23,12,10,3,10.5,2016-02-13
13,NJD,MTL,23,18,18,4,9.7,2015-11-28
14,PHI,DET,23,10,3,4,0.0,2016-04-06
15,TBL,CBJ,23,17,4,1,6.9,2015-12-14
16,BOS,TOR,23,20,10,6,5.4,2015-11-21
17,BOS,DET,23,12,4,3,13.6,2015-11-25
18,NJD,WSH,23,23,8,8,12.5,2016-02-20
19,SJS,NSH,23,25,16,8,4.8,2015-10-28
20,PIT,SJS,23,8,3,8,2.6,2015-11-21
21,CGY,BUF,23,11,6,3,10.3,2016-03-03
22,VAN,LAK,22,17,7,5,11.5,2015-10-13
23,DET,OTT,22,11,6,4,10.3,2016-02-10
24,ARI,STL,22,17,9,2,18.2,2016-02-20
25,ARI,MIN,22,8,6,4,10.0,2015-10-15
26,WPG,DAL,22,12,14,7,12.0,2016-02-23
27,CBJ,MIN,22,15,1,2,6.9,2015-10-22
28,COL,EDM,22,18,9,4,10.3,2016-02-20
29,BUF,STL,22,17,2,1,4.0,2015-11-23
30,NJD,PHI,22,8,9,5,16.7,2015-12-04
31,COL,CHI,22,21,6,4,4.3,2016-02-02
32,MIN,SJS,22,14,5,8,0.0,2016-04-05
33,NSH,TBL,22,11,2,6,10.0,2016-02-12
34,SJS,ANA,22,13,17,5,6.3,2016-02-02
35,NSH,STL,22,16,22,1,0.0,2016-02-02
36,FLA,TOR,22,12,4,8,18.5,2016-01-26
37,EDM,TBL,22,9,8,8,15.4,2016-01-19
38,NYI,NYR,22,23,10,7,17.4,2016-04-07
39,ARI,CAR,22,13,2,8,17.4,2015-12-06
40,EDM,TOR,22,19,13,7,0.0,2015-11-30
41,ANA,WPG,22,11,14,4,9.1,2016-03-20
42,WPG,COL,22,9,13,7,4.8,2015-11-23
43,COL,SJS,22,5,1,4,11.5,2015-11-01
44,TOR,VAN,22,17,11,14,10.0,2015-11-14
45,MIN,DET,22,9,6,1,9.1,2016-04-01
46,TOR,TBL,22,7,6,8,0.0,2016-03-28
47,NYR,MIN,22,10,10,3,8.7,2015-12-17
48,TBL,FLA,22,11,12,4,5.7,2016-03-26
49,DET,OTT,22,23,13,4,17.8,2015-10-31
0,EDM,STL,22,12,21,9,22.2,2016-03-16
1,WSH,COL,22,8,3,13,8.5,2016-04-01
2,MIN,ANA,22,14,11,4,3.8,2016-01-20
3,COL,STL,22,12,7,7,3.2,2016-04-03
4,CHI,PHI,22,10,3,5,7.7,2016-03-16
5,NJD,NYR,22,14,5,6,13.9,2016-02-23
6,TBL,NYR,22,16,10,8,9.1,2015-12-30
7,ANA,WPG,22,9,11,7,11.4,2016-01-03
8,ANA,MIN,22,21,7,4,0.0,2015-10-24
9,DET,MTL,22,7,8,9,10.0,2016-03-24
10,WSH,NYR,22,6,11,5,5.9,2015-11-03
11,OTT,TBL,22,10,6,7,3.2,2015-12-10
12,CGY,ARI,22,16,3,3,3.7,2016-02-12
13,CHI,EDM,22,10,5,4,10.8,2015-12-17
14,BOS,FLA,22,16,7,5,15.6,2016-03-07
15,ARI,OTT,22,14,8,8,21.1,2015-11-28
16,NJD,NYR,22,27,7,6,3.6,2016-02-08
17,BUF,TBL,22,20,6,6,14.8,2015-11-10
18,ARI,FLA,22,13,11,9,8.3,2016-02-25
19,WSH,NYI,22,23,10,16,9.4,2016-04-05
20,ANA,NJD,22,9,6,6,11.1,2015-12-19
21,DET,EDM,22,10,8,3,12.5,2015-11-27
22,BUF,DAL,22,19,6,5,0.0,2015-11-21
23,TOR,ANA,22,10,14,7,10.5,2016-01-06
24,DAL,WPG,22,25,11,6,17.6,2015-11-12
25,VAN,ARI,22,11,15,5,9.7,2016-03-09
26,MTL,ARI,22,13,4,4,10.5,2016-02-15
27,DET,OTT,22,6,6,5,3.3,2015-10-30
28,STL,DET,22,17,7,12,9.1,2015-11-21
29,MTL,CHI,22,9,14,4,2.5,2016-01-14
30,MIN,OTT,22,25,8,8,8.0,2016-03-15
31,CBJ,NSH,22,26,5,3,22.2,2015-11-20
32,COL,NYR,22,7,0,6,3.3,2015-11-06
33,DAL,CAR,22,19,13,10,30.0,2015-12-08
34,ARI,NYR,22,7,4,2,2.5,2015-11-07
35,CAR,ARI,22,13,6,2,15.2,2015-12-12
36,WPG,NYI,22,6,8,5,10.3,2016-03-03
37,BUF,OTT,22,18,11,6,13.6,2016-01-26
38,BOS,CAR,22,6,12,6,2.8,2016-04-05
39,TBL,TOR,22,21,8,9,3.7,2016-03-15
40,WSH,ARI,22,17,11,8,8.8,2016-02-22
41,PHI,CGY,22,9,9,5,3.7,2015-11-05
42,BUF,NYR,22,17,6,12,16.7,2016-04-02
43,NSH,ANA,22,17,7,3,17.2,2015-10-22
44,MIN,NJD,22,16,6,8,5.6,2016-01-10
45,TOR,NYI,22,10,6,7,8.3,2016-03-09
46,WPG,NYR,22,13,7,6,13.8,2015-10-13
47,ARI,LAK,22,16,5,6,11.1,2015-12-26
48,WSH,NJD,22,10,2,4,6.9,2016-02-06
49,OTT,FLA,22,19,4,1,13.0,2016-04-07
0,DET,CHI,22,13,7,2,6.1,2016-03-02
1,NSH,WPG,22,23,7,8,12.9,2016-03-08
2,TOR,ARI,22,9,3,8,5.1,2015-12-22
3,CGY,SJS,22,8,12,9,11.4,2016-01-11
4,WSH,MTL,22,19,10,10,9.1,2015-12-26
5,FLA,NYR,22,8,11,4,9.3,2015-11-21
6,COL,SJS,22,18,5,1,7.3,2016-02-24
7,ANA,VAN,22,14,7,6,15.2,2016-02-18
8,CBJ,DET,22,9,5,3,3.4,2016-02-23
9,TOR,PHI,22,22,10,8,15.4,2016-04-07
10,BOS,SJS,22,25,12,3,8.7,2016-03-15
11,COL,WPG,22,21,14,1,5.9,2016-01-18
12,CAR,MTL,22,14,15,10,7.1,2016-04-07
13,CAR,NYI,22,10,13,11,10.3,2015-10-29
14,DET,BUF,22,13,9,2,8.7,2015-12-01
15,COL,MIN,22,13,6,2,10.0,2015-12-07
16,BOS,NSH,22,11,7,5,0.0,2016-02-18
17,FLA,TBL,22,14,8,5,18.5,2016-03-26
18,DAL,SJS,22,20,15,10,23.5,2016-03-26
19,FLA,PHI,22,14,3,3,0.0,2015-10-12
20,PIT,PHI,22,19,3,6,15.4,2016-04-03
21,EDM,MIN,22,12,19,3,6.1,2016-02-18
22,EDM,CGY,22,21,16,9,2.7,2016-01-16
23,PIT,DET,22,17,3,8,13.5,2015-12-31
24,FLA,ANA,22,8,9,3,4.0,2015-11-19
25,TOR,TBL,22,17,12,9,3.1,2016-02-29
26,DET,CHI,22,16,4,2,2.9,2016-03-06
27,CBJ,ARI,22,22,2,4,33.3,2015-12-17
28,WSH,SJS,22,12,17,4,0.0,2015-10-13
29,ARI,BOS,21,9,10,9,0.0,2015-10-27
30,STL,BOS,21,10,6,6,16.7,2016-04-01
31,SJS,BOS,21,12,8,4,17.8,2015-11-17
32,NSH,OTT,21,17,9,6,18.4,2015-11-10
33,CAR,TOR,21,20,7,8,3.2,2016-02-25
34,ARI,OTT,21,13,15,6,15.4,2015-10-24
35,NSH,STL,21,16,3,7,3.6,2015-12-17
36,DET,ARI,21,8,6,5,11.4,2015-12-03
37,TOR,NSH,21,8,5,7,7.4,2016-02-23
38,NJD,FLA,21,16,6,5,8.0,2016-03-31
39,EDM,LAK,21,19,5,5,12.0,2015-11-14
40,MIN,WPG,21,22,6,12,17.8,2015-11-10
41,EDM,LAK,21,25,10,8,4.5,2015-12-29
42,STL,LAK,21,16,6,1,6.3,2016-01-09
43,SJS,NSH,21,8,1,6,5.0,2016-04-02
44,VAN,PHI,21,15,11,11,11.8,2015-11-02
45,BUF,WSH,21,8,6,9,0.0,2015-12-28
46,MTL,EDM,21,17,18,7,14.3,2015-10-29
47,STL,OTT,21,9,2,11,5.3,2016-01-04
48,DET,BOS,21,12,6,8,13.3,2016-04-07
49,LAK,COL,21,10,16,4,5.0,2015-10-18
0,PHI,PIT,21,15,12,9,8.3,2016-04-09
1,CAR,PHI,21,16,12,1,6.1,2015-11-23
2,VAN,DAL,21,14,15,5,5.6,2015-11-27
3,ANA,NYR,21,13,13,3,4.3,2016-03-16
4,CHI,NSH,21,12,10,5,2.6,2016-02-25
5,ARI,WPG,21,13,9,5,6.9,2015-11-21
6,TBL,BUF,21,13,9,4,3.2,2015-11-10
7,WPG,CBJ,21,10,11,6,17.1,2015-12-10
8,NYR,NSH,21,19,7,3,10.3,2015-12-28
9,CBJ,ARI,21,15,2,2,23.8,2015-11-14
10,COL,ARI,21,10,6,4,7.1,2015-11-05
11,NJD,WPG,21,13,9,3,18.8,2016-01-23
12,COL,WPG,21,18,8,0,5.9,2016-02-06
13,WSH,MIN,21,17,3,5,12.1,2016-02-11
14,MIN,PHI,21,7,8,13,8.8,2016-01-07
15,FLA,NYR,21,16,5,7,15.0,2016-01-02
16,PHI,BUF,21,11,3,1,3.6,2015-10-30
17,LAK,WPG,21,14,5,2,2.9,2016-03-24
18,DAL,TBL,21,14,2,6,22.7,2015-10-15
19,MIN,EDM,21,23,15,6,18.5,2016-02-18
20,TOR,DAL,21,15,13,9,10.0,2015-11-10
21,EDM,ARI,21,17,0,1,6.9,2016-03-22
22,NYI,WSH,21,14,8,12,2.9,2016-01-07
23,COL,WSH,21,16,8,7,11.1,2015-11-21
24,TBL,PIT,21,19,12,4,20.0,2016-01-15
25,CGY,EDM,21,20,6,5,8.3,2015-10-17
26,CAR,BOS,21,13,9,9,2.5,2016-02-26
27,COL,ARI,21,14,7,8,2.6,2015-12-27
28,NJD,PIT,21,2,7,2,5.6,2016-03-06
29,TOR,TBL,21,23,5,6,16.7,2016-03-15
30,ARI,COL,21,12,2,9,2.6,2016-03-07
31,NJD,SJS,21,26,8,6,18.8,2016-03-10
32,ARI,MIN,21,12,2,6,9.5,2015-12-11
33,DET,FLA,21,15,9,2,3.4,2015-11-29
34,TBL,NYR,21,16,10,10,7.1,2015-11-19
35,NSH,EDM,21,14,4,5,16.0,2016-01-23
36,STL,MIN,21,23,2,7,11.4,2016-03-06
37,WPG,CAR,21,16,4,14,4.8,2016-02-16
38,BUF,CBJ,21,14,7,8,2.9,2016-04-08
39,LAK,CGY,21,16,1,6,19.2,2016-04-05
40,TBL,TOR,21,16,9,12,3.4,2016-01-27
41,NYR,WSH,21,27,10,7,13.0,2016-03-04
42,MIN,ARI,21,15,4,4,16.7,2015-10-15
43,STL,OTT,21,13,11,5,6.3,2016-03-01
44,NYR,SJS,21,21,7,8,14.3,2015-10-19
45,TBL,BOS,21,9,9,8,4.5,2015-10-31
46,MTL,COL,21,9,14,5,2.5,2015-11-14
47,NSH,MTL,21,13,12,4,26.3,2015-12-21
48,MTL,WSH,21,13,12,10,5.7,2015-12-03
49,CBJ,OTT,21,8,2,3,7.3,2015-10-14
0,WSH,NYR,21,17,17,3,20.8,2016-01-17
1,TBL,EDM,21,8,12,9,19.4,2016-01-19
2,VAN,EDM,21,13,12,3,0.0,2016-03-18
3,STL,WPG,21,9,13,7,9.8,2015-10-18
4,NYR,NYI,21,14,12,13,2.7,2016-04-07
5,WPG,MIN,21,12,4,2,10.3,2015-11-27
6,PHI,WSH,21,18,5,7,5.7,2016-02-07
7,EDM,PHI,21,8,10,10,8.2,2015-11-03
8,BOS,WPG,21,14,6,8,15.4,2016-02-11
9,DET,FLA,21,8,7,5,7.7,2016-02-04
10,NYI,NYR,21,21,10,9,9.4,2016-01-14
11,NJD,BUF,21,11,1,4,14.3,2015-10-24
12,TOR,NYI,21,27,9,6,7.9,2015-12-27
13,STL,CGY,21,15,2,11,13.6,2015-12-19
14,CBJ,DAL,21,6,9,9,2.9,2015-12-15
15,OTT,CAR,21,18,5,10,9.5,2015-11-07
16,NSH,WPG,21,20,12,5,11.4,2016-01-14
17,ARI,NSH,21,17,2,4,13.8,2016-01-09
18,CGY,MTL,21,13,7,2,6.3,2015-10-30
19,COL,BOS,21,14,13,4,10.0,2015-11-12
