,team,opponent,W,L,GF,GA,SF,SA,PP%,PK%,FOW%,date,home_ind
116,MIN,WPG,1,0,4,3,31,17,25.0,100.0,55.2,2016-10-15,1
117,OTT,TOR,1,0,5,4,30,38,0.0,100.0,48.5,2016-10-12,1
118,LAK,NSH,1,0,3,2,45,26,33.3,100.0,44.4,2016-10-27,1
119,PIT,TOR,1,0,4,1,49,36,33.3,100.0,55.6,2016-11-12,1
120,CHI,COL,1,0,4,0,21,38,0.0,100.0,42.3,2016-11-03,1
121,OTT,CAR,1,0,2,1,32,33,0.0,100.0,52.8,2016-11-01,1
122,WSH,COL,1,0,3,0,40,18,40.0,100.0,53.4,2016-10-18,1
123,DAL,ANA,1,0,4,2,20,35,0.0,100.0,36.2,2016-10-13,1
124,COL,LAK,1,0,4,1,30,33,0.0,75.0,60.3,2016-11-15,1
125,BOS,WPG,1,0,4,1,25,35,0.0,100.0,56.3,2016-10-17,0
126,NJD,MIN,1,0,2,1,32,29,0.0,100.0,50.0,2016-10-22,1
127,FLA,NJD,1,0,2,1,34,24,0.0,100.0,53.6,2016-10-13,1
128,NYR,ARI,1,0,3,2,26,29,50.0,100.0,48.3,2016-10-23,1
129,NJD,BUF,1,0,4,2,27,23,0.0,100.0,51.7,2016-11-12,1
130,DAL,WPG,1,0,3,2,26,30,16.7,75.0,55.9,2016-10-25,1
131,PIT,EDM,1,0,4,3,31,28,0.0,100.0,47.4,2016-11-08,1
132,COL,WPG,1,0,3,2,28,18,20.0,83.3,58.9,2016-11-11,1
133,FLA,NYI,1,0,3,2,43,21,0.0,83.3,59.0,2016-11-12,1
134,PHI,CAR,1,0,6,3,27,30,25.0,80.0,49.2,2016-10-22,1
135,WSH,CHI,1,0,3,2,28,34,0.0,50.0,45.3,2016-11-11,0
136,LAK,CGY,1,0,5,0,39,24,0.0,100.0,44.1,2016-11-05,1
137,CGY,CHI,1,0,2,2,31,33,40.0,100.0,54.7,2016-10-24,0
138,PHI,NYI,1,0,2,2,42,27,20.0,66.7,57.4,2016-11-03,0
139,PHI,WPG,1,0,5,2,22,32,0.0,100.0,55.6,2016-11-17,1
140,TBL,FLA,1,0,3,3,28,31,0.0,100.0,46.9,2016-10-18,1
141,LAK,DAL,1,0,4,3,39,20,16.7,75.0,38.8,2016-10-20,0
142,SJS,TBL,1,0,3,1,20,26,100.0,100.0,50.8,2016-11-12,0
143,PHI,LAK,1,0,4,2,30,25,0.0,100.0,36.9,2016-10-14,0
144,WPG,DAL,1,0,4,1,36,39,28.6,83.3,50.0,2016-10-27,1
145,STL,LAK,1,0,1,0,25,27,0.0,100.0,56.9,2016-10-29,1
146,PHI,CAR,1,0,4,3,28,29,33.3,100.0,41.3,2016-10-30,0
147,LAK,TOR,1,0,7,0,43,19,0.0,100.0,50.9,2016-11-08,0
148,OTT,VAN,1,0,1,0,24,27,0.0,100.0,38.1,2016-11-03,1
149,PHI,BUF,1,0,3,3,41,25,75.0,50.0,53.4,2016-10-25,1
150,PIT,ANA,1,0,3,2,45,36,33.3,66.7,41.8,2016-10-15,1
151,NYR,TBL,1,0,6,1,37,32,0.0,75.0,50.7,2016-10-30,1
152,MIN,BOS,1,0,5,0,33,27,25.0,100.0,53.3,2016-10-25,0
153,WPG,CHI,1,0,4,0,24,27,0.0,100.0,54.1,2016-11-15,1
154,DAL,EDM,1,0,3,2,30,42,25.0,100.0,41.3,2016-11-11,0
155,TOR,VAN,1,0,6,3,42,29,20.0,100.0,60.9,2016-11-05,1
156,SJS,CBJ,1,0,3,1,29,25,100.0,100.0,49.1,2016-10-27,1
157,CGY,ARI,1,0,2,1,24,21,0.0,100.0,56.7,2016-11-16,1
158,NJD,TBL,1,0,3,1,23,33,0.0,100.0,54.2,2016-10-29,1
159,PIT,ANA,1,0,5,1,34,33,33.3,66.7,43.1,2016-11-02,0
160,TOR,BOS,1,0,4,1,24,25,0.0,75.0,61.5,2016-10-15,1
161,DET,SJS,1,0,3,0,32,30,0.0,100.0,63.3,2016-10-22,1
162,NYI,TOR,1,0,5,1,35,34,0.0,66.7,47.6,2016-10-30,1
163,CHI,NJD,1,0,3,2,29,32,40.0,75.0,56.7,2016-10-28,0
164,NJD,ARI,1,0,5,3,35,31,66.7,66.7,52.5,2016-10-25,1
165,DAL,NSH,1,0,2,1,37,28,0.0,66.7,51.6,2016-10-18,0
166,NYR,BOS,1,0,5,2,31,29,33.3,100.0,41.8,2016-10-26,1
167,LAK,PIT,1,0,3,2,27,23,0.0,100.0,60.0,2016-11-03,1
168,VAN,CGY,1,0,1,1,31,25,0.0,100.0,50.8,2016-10-15,1
169,DET,CAR,1,0,4,2,25,31,0.0,100.0,47.1,2016-10-25,1
170,VAN,STL,1,0,2,1,26,24,0.0,100.0,48.2,2016-10-18,1
171,BUF,MIN,1,0,2,1,24,28,0.0,0.0,50.8,2016-11-01,0
172,WSH,FLA,1,0,4,2,36,24,0.0,50.0,55.2,2016-11-05,1
173,CGY,BUF,1,0,4,3,34,21,0.0,80.0,45.5,2016-10-18,1
174,ARI,COL,1,0,4,2,25,27,25.0,0.0,42.9,2016-11-08,0
175,COL,MIN,1,0,1,0,32,32,25.0,100.0,52.2,2016-11-05,1
176,MIN,DAL,1,0,4,0,15,29,50.0,100.0,52.5,2016-10-29,1
177,EDM,WPG,1,0,3,0,32,31,0.0,100.0,56.3,2016-10-23,0
178,ANA,VAN,1,0,4,2,37,19,50.0,100.0,64.9,2016-10-23,1
179,ARI,PHI,1,0,4,3,35,30,16.7,100.0,44.2,2016-10-15,1
180,OTT,MTL,1,0,3,3,38,24,0.0,75.0,63.3,2016-10-15,1
181,BUF,EDM,1,0,6,2,24,33,33.3,100.0,51.7,2016-10-16,0
182,TBL,TOR,1,0,7,3,24,43,50.0,75.0,35.4,2016-10-25,0
183,VAN,DAL,1,0,5,4,30,21,33.3,100.0,52.5,2016-11-13,1
184,BOS,NJD,1,0,2,1,36,29,0.0,66.7,47.8,2016-10-20,1
185,STL,SJS,1,0,3,2,25,31,25.0,100.0,61.3,2016-11-17,1
186,BOS,ARI,1,0,2,1,29,32,0.0,66.7,64.2,2016-11-12,0
187,TOR,NSH,1,0,6,2,32,34,0.0,100.0,50.9,2016-11-15,1
188,WPG,LAK,1,0,2,2,29,29,40.0,100.0,46.3,2016-11-13,1
189,NJD,CAR,1,0,4,1,21,34,0.0,100.0,54.0,2016-11-06,0
190,CGY,SJS,1,0,3,2,22,28,0.0,80.0,41.1,2016-11-03,0
191,NSH,PIT,1,0,5,1,30,35,25.0,100.0,39.4,2016-10-22,1
192,VAN,CAR,1,0,4,3,31,22,0.0,50.0,48.3,2016-10-16,1
193,NJD,BUF,1,0,2,1,43,26,0.0,50.0,48.3,2016-11-11,0
194,SJS,FLA,1,0,4,2,29,24,0.0,100.0,56.9,2016-11-10,0
195,CBJ,DAL,1,0,3,2,28,38,50.0,100.0,54.8,2016-11-01,1
196,CBJ,ANA,1,0,4,0,37,35,20.0,100.0,41.7,2016-10-28,0
197,CHI,STL,1,0,2,1,30,28,0.0,100.0,49.1,2016-11-09,0
198,LAK,EDM,1,0,4,2,25,30,0.0,100.0,56.5,2016-11-17,1
199,CAR,SJS,1,0,1,0,33,22,0.0,100.0,69.4,2016-11-15,1
200,EDM,CGY,1,0,5,3,29,35,50.0,100.0,45.2,2016-10-14,0
201,NYR,WPG,1,0,5,2,18,26,0.0,100.0,52.8,2016-11-06,1
202,TOR,BUF,1,0,2,1,29,43,0.0,100.0,37.1,2016-11-03,0
203,NYR,VAN,1,0,7,2,25,38,66.7,100.0,49.3,2016-11-15,0
204,DET,OTT,1,0,5,1,25,32,50.0,100.0,49.1,2016-10-17,1
205,CGY,STL,1,0,4,1,30,24,33.3,75.0,46.6,2016-10-25,0
206,NYI,MIN,1,0,6,3,33,29,0.0,100.0,51.8,2016-10-23,1
207,SJS,CBJ,1,0,3,2,38,28,20.0,50.0,41.7,2016-10-15,0
208,PIT,NYI,1,0,4,2,35,37,40.0,83.3,47.1,2016-10-27,1
209,VAN,ARI,1,0,3,2,42,36,50.0,50.0,64.0,2016-11-17,1
210,EDM,CGY,1,0,7,4,28,41,16.7,66.7,39.7,2016-10-12,1
211,VAN,NYR,1,0,5,3,29,26,0.0,80.0,65.0,2016-11-08,0
212,MIN,TOR,1,0,3,2,27,33,0.0,66.7,62.3,2016-10-20,1
213,PIT,FLA,1,0,3,2,22,22,50.0,75.0,47.2,2016-10-25,1
214,ANA,EDM,1,0,4,1,27,34,33.3,100.0,50.8,2016-11-15,1
215,FLA,MTL,1,0,4,3,24,37,0.0,66.7,48.3,2016-11-15,0
216,MTL,PHI,1,0,5,4,17,38,0.0,60.0,52.5,2016-11-05,1
217,TBL,OTT,1,0,4,1,35,28,50.0,100.0,53.2,2016-10-22,0
218,WPG,DAL,1,0,8,2,31,30,60.0,60.0,50.8,2016-11-08,1
219,STL,COL,1,0,5,1,28,23,25.0,100.0,54.5,2016-11-06,1
220,WSH,PIT,1,0,7,1,39,26,28.6,100.0,56.3,2016-11-16,1
221,PIT,SJS,1,0,3,2,20,34,20.0,100.0,52.5,2016-10-20,1
222,EDM,VAN,1,0,2,0,27,26,0.0,100.0,42.4,2016-10-28,0
223,FLA,TBL,1,0,3,1,32,35,33.3,100.0,53.3,2016-11-07,1
224,STL,MIN,1,0,3,2,31,21,0.0,100.0,52.8,2016-10-13,1
225,ARI,NSH,1,0,2,2,28,37,0.0,85.7,57.6,2016-11-03,1
226,WSH,CGY,1,0,3,1,29,22,50.0,100.0,46.7,2016-10-30,0
227,CHI,LAK,1,0,3,0,29,32,28.6,100.0,50.9,2016-10-30,1
228,TOR,PHI,1,0,6,3,23,33,40.0,50.0,58.2,2016-11-11,1
229,CAR,NSH,1,0,2,2,25,27,0.0,100.0,36.2,2016-11-05,0
230,CAR,WSH,1,0,5,1,38,21,16.7,100.0,61.8,2016-11-12,1
231,COL,ARI,1,0,3,2,34,26,33.3,100.0,37.0,2016-10-29,0
232,DAL,CGY,1,0,4,2,22,31,33.3,100.0,50.0,2016-11-10,0
233,BOS,BUF,1,0,4,0,42,32,37.5,100.0,49.1,2016-11-07,1
234,DAL,STL,1,0,6,2,27,30,25.0,100.0,57.1,2016-11-03,1
235,MTL,PIT,1,0,4,0,32,36,16.7,100.0,54.2,2016-10-18,1
236,PHI,MIN,1,0,3,2,36,27,33.3,100.0,48.2,2016-11-12,1
237,EDM,NYI,1,0,3,3,23,33,66.7,100.0,51.8,2016-11-05,0
238,DET,STL,1,0,1,1,27,32,0.0,100.0,48.1,2016-10-27,0
239,NYR,NYI,1,0,5,3,39,28,20.0,100.0,51.6,2016-10-13,1
240,BOS,COL,1,0,2,0,46,21,0.0,100.0,44.6,2016-11-13,0
241,CBJ,STL,1,0,8,4,30,37,50.0,20.0,52.5,2016-11-12,1
242,ANA,NJD,1,0,3,2,23,29,0.0,100.0,53.3,2016-11-17,1
243,CHI,DAL,1,0,4,3,33,35,0.0,75.0,57.3,2016-11-06,1
244,COL,DAL,1,0,6,5,33,28,66.7,50.0,61.5,2016-10-15,1
245,COL,PIT,1,0,4,3,31,31,33.3,60.0,36.4,2016-10-17,0
246,TOR,FLA,1,0,3,2,28,31,0.0,66.7,52.6,2016-10-27,1
247,MIN,LAK,1,0,6,3,26,30,25.0,100.0,48.1,2016-10-18,1
248,MTL,ARI,1,0,5,2,43,29,25.0,100.0,45.9,2016-10-20,1
249,PHI,DET,1,0,4,3,40,25,0.0,100.0,44.0,2016-11-02,1
250,SJS,NYI,1,0,3,2,27,23,0.0,100.0,39.7,2016-10-18,0
251,ARI,SJS,1,0,3,2,30,41,0.0,100.0,40.8,2016-11-01,1
252,BOS,FLA,1,0,2,1,26,34,0.0,100.0,55.1,2016-11-01,0
253,OTT,EDM,1,0,2,0,22,37,0.0,100.0,45.3,2016-10-30,0
254,WPG,WSH,0,1,3,4,27,32,0.0,80.0,41.7,2016-11-03,0
255,STL,CHI,0,1,1,2,28,30,0.0,100.0,50.9,2016-11-09,1
256,VAN,LAK,0,1,3,3,25,31,33.3,66.7,42.6,2016-10-22,0
257,ANA,NYI,0,1,2,3,26,30,0.0,100.0,61.3,2016-10-16,0
258,ANA,CBJ,0,1,2,3,32,18,0.0,100.0,58.5,2016-11-09,0
259,PHI,DET,0,1,2,2,25,35,50.0,100.0,58.6,2016-11-08,1
260,PHI,OTT,0,1,2,2,35,26,0.0,100.0,55.6,2016-11-15,1
261,TBL,BOS,0,1,3,3,30,31,50.0,75.0,52.7,2016-11-03,1
262,ARI,CGY,0,1,1,2,21,24,0.0,100.0,43.3,2016-11-16,0
263,NJD,FLA,0,1,1,2,24,34,0.0,100.0,46.4,2016-10-13,0
264,WSH,PIT,0,1,2,2,41,30,0.0,50.0,59.4,2016-10-13,0
265,TOR,OTT,0,1,4,5,38,30,0.0,100.0,51.5,2016-10-12,0
266,BUF,OTT,0,1,1,1,32,29,0.0,100.0,54.0,2016-11-09,1
267,TOR,CHI,0,1,4,4,34,35,50.0,100.0,46.7,2016-10-22,0
268,EDM,TOR,0,1,2,3,46,31,0.0,100.0,50.9,2016-11-01,0
269,TOR,WPG,0,1,4,5,40,34,100.0,66.7,43.8,2016-10-19,0
270,BUF,NJD,0,1,1,2,26,43,50.0,100.0,51.7,2016-11-11,1
271,WSH,CBJ,0,1,1,2,22,27,0.0,100.0,48.2,2016-11-15,0
272,CHI,CGY,0,1,2,2,33,31,0.0,60.0,45.3,2016-10-24,1
273,PIT,COL,0,1,3,4,31,31,40.0,66.7,63.6,2016-10-17,1
274,DAL,CHI,0,1,3,4,35,33,25.0,100.0,42.7,2016-11-06,0
275,CHI,WSH,0,1,2,3,34,28,50.0,0.0,54.7,2016-11-11,1
276,CAR,OTT,0,1,1,2,33,32,0.0,100.0,47.1,2016-11-01,0
277,NSH,LAK,0,1,2,3,26,45,0.0,66.7,55.6,2016-10-27,0
278,ARI,VAN,0,1,2,3,36,42,50.0,50.0,36.0,2016-11-17,0
279,NYI,PHI,0,1,2,2,27,42,33.3,80.0,42.6,2016-11-03,1
280,BUF,PHI,0,1,3,3,25,41,50.0,25.0,46.6,2016-10-25,0
281,CBJ,STL,0,1,1,2,21,30,0.0,100.0,50.8,2016-11-05,0
282,NJD,CHI,0,1,2,3,32,29,25.0,60.0,43.3,2016-10-28,1
283,ANA,SJS,0,1,1,2,20,36,0.0,80.0,61.4,2016-10-25,0
284,LAK,WPG,0,1,2,2,29,29,0.0,60.0,53.7,2016-11-13,0
285,STL,DET,0,1,1,1,32,27,0.0,100.0,51.8,2016-10-27,1
286,FLA,TBL,0,1,3,3,31,28,0.0,100.0,53.1,2016-10-18,0
287,CGY,VAN,0,1,1,1,25,31,0.0,100.0,49.2,2016-10-15,0
288,CAR,NJD,0,1,2,2,33,41,100.0,100.0,39.5,2016-11-08,0
289,MTL,FLA,0,1,3,4,37,24,33.3,100.0,51.7,2016-11-15,1
290,BUF,CGY,0,1,3,4,21,34,20.0,100.0,54.5,2016-10-18,0
291,DAL,LAK,0,1,3,4,20,39,25.0,83.3,61.2,2016-10-20,1
292,WPG,COL,0,1,2,3,18,28,16.7,80.0,41.1,2016-11-11,0
293,PIT,LAK,0,1,2,3,23,27,0.0,100.0,40.0,2016-11-03,0
294,CBJ,LAK,0,1,2,3,21,30,100.0,100.0,45.3,2016-10-25,0
295,STL,VAN,0,1,1,2,24,26,0.0,100.0,51.8,2016-10-18,0
296,DAL,NJD,0,1,1,2,24,33,0.0,100.0,52.8,2016-11-15,1
297,DET,PHI,0,1,3,4,25,40,0.0,100.0,56.0,2016-11-02,0
298,CAR,WPG,0,1,4,5,27,26,50.0,80.0,64.1,2016-10-13,0
299,DAL,VAN,0,1,4,5,21,30,0.0,66.7,47.4,2016-11-13,0
300,NYI,EDM,0,1,3,3,33,23,0.0,33.3,48.2,2016-11-05,1
301,NJD,FLA,0,1,3,4,34,31,25.0,33.3,50.0,2016-11-03,0
302,NSH,CAR,0,1,2,2,27,25,0.0,100.0,63.8,2016-11-05,1
303,DAL,CBJ,0,1,2,3,38,28,0.0,50.0,45.2,2016-11-01,0
304,OTT,MIN,0,1,1,2,36,42,0.0,100.0,47.5,2016-11-13,1
305,NYI,FLA,0,1,2,3,21,43,16.7,100.0,41.0,2016-11-12,0
306,MIN,NJD,0,1,1,2,29,32,0.0,100.0,50.0,2016-10-22,0
307,PHI,ARI,0,1,3,4,30,35,0.0,83.3,55.8,2016-10-15,0
308,CAR,VAN,0,1,3,4,22,31,50.0,100.0,51.7,2016-10-16,0
309,NSH,ARI,0,1,2,2,37,28,14.3,100.0,42.4,2016-11-03,0
310,MTL,OTT,0,1,3,3,24,38,25.0,100.0,36.7,2016-10-15,0
311,CAR,PHI,0,1,3,4,29,28,0.0,66.7,58.7,2016-10-30,1
312,DAL,CBJ,0,1,0,3,32,26,0.0,100.0,65.6,2016-10-22,1
313,ARI,WPG,0,1,2,3,25,27,0.0,100.0,51.0,2016-11-10,1
314,DET,TBL,0,1,3,4,28,22,50.0,66.7,56.4,2016-11-15,1
315,CHI,STL,0,1,2,5,19,33,25.0,40.0,39.7,2016-10-12,1
316,EDM,ANA,0,1,1,4,34,27,0.0,66.7,49.2,2016-11-15,0
317,ARI,NYI,0,1,2,3,25,31,0.0,100.0,65.1,2016-10-21,0
318,EDM,LAK,0,1,2,4,30,25,0.0,100.0,43.5,2016-11-17,0
319,CGY,CAR,0,1,2,4,26,32,0.0,75.0,45.8,2016-10-20,1
320,VAN,TOR,0,1,3,6,29,42,0.0,80.0,39.1,2016-11-05,0
321,NSH,CHI,0,1,3,5,36,27,50.0,33.3,52.5,2016-10-15,0
322,ANA,NSH,0,1,0,5,27,27,0.0,75.0,41.5,2016-11-12,0
